control_type,test_time,fine_tuned_model,regular,sea_state,C_star,G_star,energy_abs
threshold_control,900,False,False,0,0.1,5.0,0.7481602921153113
threshold_control,900,False,False,0,0.3,5.0,1.8717955831199222
threshold_control,900,False,False,0,0.5,5.0,2.6738669506266706
rl_control,900,False,False,0,0.1,variable,0.7492678766118173
rl_control,900,False,False,0,0.3,variable,1.983360360800667
rl_control,900,False,False,0,0.5,variable,2.768997318787918
rl_control,900,True,False,0,0.1,variable,1.8481775008923758
rl_control,900,True,False,0,0.3,variable,3.4830912967990932
rl_control,900,True,False,0,0.5,variable,3.7361894114452667
threshold_control,900,False,False,3,0.1,5.0,4.022051447098379
threshold_control,900,False,False,3,0.3,5.0,10.138708893053298
threshold_control,900,False,False,3,0.5,5.0,14.632267844312361
rl_control,900,False,False,3,0.1,variable,4.535810299911579
rl_control,900,False,False,3,0.3,variable,11.263464767440968
rl_control,900,False,False,3,0.5,variable,16.11012038608547
rl_control,900,True,False,3,0.1,variable,11.58101701310928
rl_control,900,True,False,3,0.3,variable,25.081862270310484
rl_control,900,True,False,3,0.5,variable,25.86446525963863
threshold_control,900,False,False,5,0.1,5.0,7.083331225657859
threshold_control,900,False,False,5,0.3,5.0,17.76071706281948
threshold_control,900,False,False,5,0.5,5.0,25.42751479520459
rl_control,900,False,False,5,0.1,variable,7.7975586739846205
rl_control,900,False,False,5,0.3,variable,19.498931928565195
rl_control,900,False,False,5,0.5,variable,27.783017962902665
rl_control,900,True,False,5,0.1,variable,19.87050560432539
rl_control,900,True,False,5,0.3,variable,39.252178613426864
rl_control,900,True,False,5,0.5,variable,47.8476961059559

